Combination,Feature,Percentage,Algorithm,Min RMSE,Min NRMSE,FeatureSet Removal Scenario
combination_1_ABCD,A,10,KNN,0.2568997729186188,0.04460065502059354,A
combination_1_ABCD,A,10,BayesianRidge,0.2664673281503188,0.04626168891498589,ACD
combination_1_ABCD,A,10,RandomForest,0.24438145545073664,0.042427336015752874,A
combination_1_ABCD,A,15,KNN,0.30270271937648785,0.0525525554473069,AD
combination_1_ABCD,A,15,BayesianRidge,0.31279122195840975,0.054304031590001675,ACD
combination_1_ABCD,A,15,RandomForest,0.32755311428511036,0.056866860118942764,AD
combination_1_ABCD,A,20,KNN,0.35180988990652645,0.061078105886549716,AD
combination_1_ABCD,A,20,BayesianRidge,0.37601896499745313,0.06528107031205783,AC
combination_1_ABCD,A,20,RandomForest,0.3818375347115669,0.06629123866520256,AD
combination_1_ABCD,B,10,KNN,0.5048889707979549,0.06082999648168132,BD
combination_1_ABCD,B,10,BayesianRidge,0.4852102273496059,0.05845906353609709,B
combination_1_ABCD,B,10,RandomForest,0.48090329729727355,0.05794015630087632,BC
combination_1_ABCD,B,15,KNN,0.5892972400101141,0.07099966747109807,BD
combination_1_ABCD,B,15,BayesianRidge,0.5977974274146148,0.07202378643549576,BD
combination_1_ABCD,B,15,RandomForest,0.555990605453101,0.06698681993410853,BD
combination_1_ABCD,B,20,KNN,0.7148449132543889,0.08612589316317937,BCD
combination_1_ABCD,B,20,BayesianRidge,0.7298778166983346,0.08793708634919692,BCD
combination_1_ABCD,B,20,RandomForest,0.6688008419265135,0.08057841468994138,B
combination_1_ABCD,C,10,KNN,0.42840284403059625,0.06757142650324861,ABC
combination_1_ABCD,C,10,BayesianRidge,0.5065592208644244,0.07989893073571364,C
combination_1_ABCD,C,10,RandomForest,0.4816316785726486,0.07596714173070168,ABC
combination_1_ABCD,C,15,KNN,0.5662762632025045,0.08931802258714583,ABC
combination_1_ABCD,C,15,BayesianRidge,0.6263592577998094,0.09879483561511189,C
combination_1_ABCD,C,15,RandomForest,0.6052566724387148,0.09546635211967111,ABC
combination_1_ABCD,C,20,KNN,0.7232620828662772,0.1140791928811163,ABC
combination_1_ABCD,C,20,BayesianRidge,0.7528148482686394,0.11874051234521128,CD
combination_1_ABCD,C,20,RandomForest,0.7634612878433792,0.12041976148949199,AC
combination_1_ABCD,D,10,KNN,0.34173958664738757,0.05851705250811431,BCD
combination_1_ABCD,D,10,BayesianRidge,0.33668878959483217,0.05765218999911509,CD
combination_1_ABCD,D,10,RandomForest,0.35899192124587653,0.06147121939141722,AD
combination_1_ABCD,D,15,KNN,0.3805801316519811,0.06516783076232553,ABD
combination_1_ABCD,D,15,BayesianRidge,0.40215599820792997,0.06886232846026197,ABD
combination_1_ABCD,D,15,RandomForest,0.40462005688891917,0.06928425631659572,CD
combination_1_ABCD,D,20,KNN,0.44936377884856105,0.07694585254256181,ABD
combination_1_ABCD,D,20,BayesianRidge,0.4676708917126361,0.08008063214257466,BD
combination_1_ABCD,D,20,RandomForest,0.4951666038285764,0.08478880202544117,BD
combination_2_ABCDE,A,10,KNN,0.24325960066700825,0.04223256956024447,AD
combination_2_ABCDE,A,10,BayesianRidge,0.2631643241348554,0.04568825071785683,ABE
combination_2_ABCDE,A,10,RandomForest,0.21186157225409952,0.03678152296078117,ABC
combination_2_ABCDE,A,15,KNN,0.2863040756363578,0.04970556868686765,AD
combination_2_ABCDE,A,15,BayesianRidge,0.3291576583370946,0.057145426794634455,ADE
combination_2_ABCDE,A,15,RandomForest,0.3017927627571761,0.05239457686756528,ADE
combination_2_ABCDE,A,20,KNN,0.34946896129281824,0.06067169466889204,AD
combination_2_ABCDE,A,20,BayesianRidge,0.3893662208665178,0.06759830223377043,A
combination_2_ABCDE,A,20,RandomForest,0.3770584428346356,0.06546153521434643,ADE
combination_2_ABCDE,B,10,KNN,0.5129774353031152,0.06180451027748375,BCDE
combination_2_ABCDE,B,10,BayesianRidge,0.5188683422150415,0.06251425809819777,BC
combination_2_ABCDE,B,10,RandomForest,0.5159483840639043,0.06216245591131375,BE
combination_2_ABCDE,B,15,KNN,0.6282506819412919,0.07569285324593876,BDE
combination_2_ABCDE,B,15,BayesianRidge,0.6209801679229479,0.07481688770155996,BE
combination_2_ABCDE,B,15,RandomForest,0.5951808487751116,0.0717085359970014,BDE
combination_2_ABCDE,B,20,KNN,0.7511460537470406,0.09049952454783619,BDE
combination_2_ABCDE,B,20,BayesianRidge,0.7519390506474469,0.0905950663430659,BE
combination_2_ABCDE,B,20,RandomForest,0.6862844590430607,0.08268487458350128,BE
combination_2_ABCDE,C,10,KNN,0.502947377364726,0.07932923933197569,ABCE
combination_2_ABCDE,C,10,BayesianRidge,0.5247442312259539,0.08276722889999273,ABC
combination_2_ABCDE,C,10,RandomForest,0.5289128088865318,0.0834247332628599,C
combination_2_ABCDE,C,15,KNN,0.5871747433329729,0.09261431282854463,ABCE
combination_2_ABCDE,C,15,BayesianRidge,0.6372540710953432,0.100513260425133,CDE
combination_2_ABCDE,C,15,RandomForest,0.5985249489243148,0.09440456607639036,CDE
combination_2_ABCDE,C,20,KNN,0.7334235623734455,0.11568194990117435,CE
combination_2_ABCDE,C,20,BayesianRidge,0.7576774941585233,0.1195074911921961,CE
combination_2_ABCDE,C,20,RandomForest,0.7601800704789086,0.11990221931843983,C
combination_2_ABCDE,D,10,KNN,0.2684072771343477,0.04596015019423762,ABDE
combination_2_ABCDE,D,10,BayesianRidge,0.2783938450004164,0.04767017893842747,ACDE
combination_2_ABCDE,D,10,RandomForest,0.2775167618923021,0.04751999347470926,ACD
combination_2_ABCDE,D,15,KNN,0.36665030462924136,0.06278258640911666,ABD
combination_2_ABCDE,D,15,BayesianRidge,0.3503089654838534,0.0599844118979201,ABCD
combination_2_ABCDE,D,15,RandomForest,0.3765925445044849,0.06448502474391865,ABDE
combination_2_ABCDE,D,20,KNN,0.4235380508402554,0.07252363884250948,ABCD
combination_2_ABCDE,D,20,BayesianRidge,0.38151649258709464,0.06532816653888607,ABCD
combination_2_ABCDE,D,20,RandomForest,0.4362573314042626,0.07470159784319565,ABCD
combination_2_ABCDE,E,10,KNN,0.23200631551590342,0.039323104324729394,ABDE
combination_2_ABCDE,E,10,BayesianRidge,0.24718029470232214,0.04189496520378341,BCDE
combination_2_ABCDE,E,10,RandomForest,0.20899020819920686,0.03542206918630624,ABDE
combination_2_ABCDE,E,15,KNN,0.280229292638826,0.047496490277767124,ABCE
combination_2_ABCDE,E,15,BayesianRidge,0.2858442016934436,0.048448169778549766,BCDE
combination_2_ABCDE,E,15,RandomForest,0.26696912243954696,0.04524900380331304,ABCE
combination_2_ABCDE,E,20,KNN,0.3215507058854071,0.054500119641594416,ABCE
combination_2_ABCDE,E,20,BayesianRidge,0.3248014118041731,0.05505108674647001,ABCE
combination_2_ABCDE,E,20,RandomForest,0.2973837936067867,0.0504040328147096,ABDE
combination_3_ABCDF,A,10,KNN,0.3912893732568222,0.07467354451466075,A
combination_3_ABCDF,A,10,BayesianRidge,0.32918855985686285,0.06282224424749293,AD
combination_3_ABCDF,A,10,RandomForest,0.2902007132175316,0.055381815499528954,ABF
combination_3_ABCDF,A,15,KNN,0.42272119732865254,0.08067198422302532,ACD
combination_3_ABCDF,A,15,BayesianRidge,0.3410371143667751,0.06508341877228532,ADF
combination_3_ABCDF,A,15,RandomForest,0.2998836182416026,0.057229698137710436,ABCF
combination_3_ABCDF,A,20,KNN,0.45195993402289514,0.08625189580589603,A
combination_3_ABCDF,A,20,BayesianRidge,0.4109621242107446,0.07842788629976045,ADF
combination_3_ABCDF,A,20,RandomForest,0.3308682011255693,0.0631427864743453,AF
combination_3_ABCDF,B,10,KNN,0.47559332178230074,0.0641826345185291,ABD
combination_3_ABCDF,B,10,BayesianRidge,0.40674581361055173,0.05489147282193681,BDF
combination_3_ABCDF,B,10,RandomForest,0.2873832610809737,0.038783166137783216,BD
combination_3_ABCDF,B,15,KNN,0.5299343281478158,0.07151610366367285,BCDF
combination_3_ABCDF,B,15,BayesianRidge,0.44442969402486066,0.05997701673749804,BDF
combination_3_ABCDF,B,15,RandomForest,0.38415549252505177,0.051842846494608866,BC
combination_3_ABCDF,B,20,KNN,0.7090198701869588,0.09568419300768674,BF
combination_3_ABCDF,B,20,BayesianRidge,0.715473835253013,0.09655517344844979,BD
combination_3_ABCDF,B,20,RandomForest,0.5059502191431912,0.06827938180070055,BC
combination_3_ABCDF,C,10,KNN,0.48007960917500636,0.0796151922346611,BCDF
combination_3_ABCDF,C,10,BayesianRidge,0.30681570333542585,0.05088154284169584,BC
combination_3_ABCDF,C,10,RandomForest,0.31500086613216505,0.052238949607324225,ACF
combination_3_ABCDF,C,15,KNN,0.5881977515440674,0.09754523242853523,ABCD
combination_3_ABCDF,C,15,BayesianRidge,0.4657561292300215,0.07723982242620589,BCD
combination_3_ABCDF,C,15,RandomForest,0.4370745230503813,0.07248333715595047,ACD
combination_3_ABCDF,C,20,KNN,0.6551400114761995,0.10864676807233824,ABCD
combination_3_ABCDF,C,20,BayesianRidge,0.5393738709210741,0.08944840313782325,ACDF
combination_3_ABCDF,C,20,RandomForest,0.5456415857997966,0.09048782517409562,ABCF
combination_3_ABCDF,D,10,KNN,0.250758088963273,0.04767264048731425,ABCD
combination_3_ABCDF,D,10,BayesianRidge,0.24585553511602817,0.04674059602966314,ABCD
combination_3_ABCDF,D,10,RandomForest,0.2429360842074942,0.046185567339827795,ABCD
combination_3_ABCDF,D,15,KNN,0.42108286771649867,0.08005377713241418,ABCD
combination_3_ABCDF,D,15,BayesianRidge,0.42315081646205466,0.08044692328175942,BCD
combination_3_ABCDF,D,15,RandomForest,0.440089186706839,0.08366714576175645,ABCD
combination_3_ABCDF,D,20,KNN,0.49241678627336405,0.09361535860710343,ABCD
combination_3_ABCDF,D,20,BayesianRidge,0.5314447962446976,0.10103513236591208,ABCD
combination_3_ABCDF,D,20,RandomForest,0.5089612649792403,0.09676069676411411,ABD
combination_3_ABCDF,F,10,KNN,0.24623965570414214,0.030475204913878985,BF
combination_3_ABCDF,F,10,BayesianRidge,0.24824824324895603,0.03072379248130644,BF
combination_3_ABCDF,F,10,RandomForest,0.30486617822942835,0.03773096265215699,CF
combination_3_ABCDF,F,15,KNN,0.42595448171619055,0.0527171388262612,BF
combination_3_ABCDF,F,15,BayesianRidge,0.4290434393413645,0.05309943556205007,AF
combination_3_ABCDF,F,15,RandomForest,0.43171688410170395,0.0534303074383297,BF
combination_3_ABCDF,F,20,KNN,0.5656591947162396,0.07000732607874253,F
combination_3_ABCDF,F,20,BayesianRidge,0.5834858380114921,0.07221359381330349,AF
combination_3_ABCDF,F,20,RandomForest,0.6379046067183175,0.07894858994038582,DF
