Combination,Feature,Percentage,Min Error Type,Min Algorithm,Min Mean Error
1,ABCD,D,RMSE,MICE,0.4362937255886779
1,ABCD,D,NRMSE,MICE,0.0747078297240886
3,ABCDF,B,RMSE,RandomForest,0.2980386173939958
3,ABCDF,B,NRMSE,RandomForest,0.0402211359506067
2,ABCDE,C,RMSE,MICE,0.5308519425891242
2,ABCDE,C,NRMSE,MICE,0.083730590313742
3,ABCDF,F,RMSE,KNN,0.4708342430629935
3,ABCDF,F,NRMSE,KNN,0.058271564735519
2,ABCDE,D,RMSE,MICE,0.4569887192238638
2,ABCDE,D,NRMSE,MICE,0.0782514930177849
2,ABCDE,D,RMSE,MICE,0.3144725262334878
2,ABCDE,D,NRMSE,MICE,0.0538480353139533
1,ABCD,C,RMSE,KNN,0.6122429871826618
1,ABCD,C,NRMSE,KNN,0.0965682945083062
2,ABCDE,C,RMSE,RandomForest,0.7488170673697768
2,ABCDE,C,NRMSE,RandomForest,0.1181099475346651
3,ABCDF,A,RMSE,RandomForest,0.3254761676868524
3,ABCDF,A,NRMSE,RandomForest,0.0621137724593229
3,ABCDF,B,RMSE,RandomForest,0.5173078785214907
3,ABCDF,B,NRMSE,RandomForest,0.0698121293551269
2,ABCDE,A,RMSE,KNN,0.2600766156402061
2,ABCDE,A,NRMSE,KNN,0.0451521902153135
2,ABCDE,E,RMSE,RandomForest,0.3153669450778783
2,ABCDE,E,NRMSE,RandomForest,0.0534520245894709
3,ABCDF,D,RMSE,MICE,0.5148790662185254
3,ABCDF,D,NRMSE,MICE,0.0978857540339401
1,ABCD,B,RMSE,RandomForest,0.4798074879565644
1,ABCD,B,NRMSE,RandomForest,0.0578081310791041
1,ABCD,B,RMSE,RandomForest,0.6674801337643238
1,ABCD,B,NRMSE,RandomForest,0.0804192932246173
1,ABCD,A,RMSE,MICE,0.3146397188444473
1,ABCD,A,NRMSE,MICE,0.054624951188272
3,ABCDF,C,RMSE,RandomForest,0.5416091977806995
3,ABCDF,C,NRMSE,RandomForest,0.0898191041095687
2,ABCDE,A,RMSE,KNN,0.3770568706999313
2,ABCDE,A,NRMSE,KNN,0.0654612622742936
2,ABCDE,B,RMSE,RandomForest,0.6199166113107308
2,ABCDE,B,NRMSE,RandomForest,0.0746887483506904
3,ABCDF,F,RMSE,KNN,0.4332251522127978
3,ABCDF,F,NRMSE,KNN,0.0536169742837621
1,ABCD,C,RMSE,KNN,0.7540006928019148
1,ABCD,C,NRMSE,KNN,0.1189275540697026
2,ABCDE,C,RMSE,MICE,0.6412448745311303
2,ABCDE,C,NRMSE,MICE,0.1011427246894527
3,ABCDF,A,RMSE,RandomForest,0.3570810983357015
3,ABCDF,A,NRMSE,RandomForest,0.0681452477739888
1,ABCD,D,RMSE,MICE,0.3568011027391873
1,ABCD,D,NRMSE,MICE,0.0610960792361622
3,ABCDF,B,RMSE,RandomForest,0.4166120738716145
3,ABCDF,B,NRMSE,RandomForest,0.0562229519394891
1,ABCD,D,RMSE,MICE,0.5414898079895619
1,ABCD,D,NRMSE,MICE,0.0927208575324592
3,ABCDF,A,RMSE,RandomForest,0.2966760685713223
3,ABCDF,A,NRMSE,RandomForest,0.0566175703380386
1,ABCD,C,RMSE,KNN,0.5038453761060684
1,ABCD,C,NRMSE,KNN,0.0794708795119981
3,ABCDF,F,RMSE,KNN,0.5841370400209651
3,ABCDF,F,NRMSE,KNN,0.0722941881214065
2,ABCDE,D,RMSE,MICE,0.3763807047608056
2,ABCDE,D,NRMSE,MICE,0.0644487508152064
3,ABCDF,D,RMSE,RandomForest,0.478470228419434
3,ABCDF,D,NRMSE,RandomForest,0.0909639217527441
1,ABCD,B,RMSE,RandomForest,0.582633677785578
1,ABCD,B,NRMSE,RandomForest,0.0701968286488648
1,ABCD,A,RMSE,MICE,0.3766708383468799
1,ABCD,A,NRMSE,MICE,0.0653942427685555
2,ABCDE,E,RMSE,MICE,0.2619050830671143
2,ABCDE,E,NRMSE,MICE,0.0443906920452736
3,ABCDF,C,RMSE,MICE,0.6580165620663262
3,ABCDF,C,NRMSE,MICE,0.1091238079711984
2,ABCDE,A,RMSE,KNN,0.3123302583538222
2,ABCDE,A,NRMSE,KNN,0.0542240031864274
2,ABCDE,B,RMSE,RandomForest,0.7315450003728516
2,ABCDE,B,NRMSE,RandomForest,0.0881379518521508
2,ABCDE,B,RMSE,KNN,0.4968274556147124
2,ABCDE,B,NRMSE,KNN,0.059858729592134
3,ABCDF,C,RMSE,RandomForest,0.5455786622558456
3,ABCDF,C,NRMSE,RandomForest,0.09047739009218
2,ABCDE,E,RMSE,RandomForest,0.3871001048434001
2,ABCDE,E,NRMSE,RandomForest,0.0656101872615932
1,ABCD,A,RMSE,RandomForest,0.250121366347408
1,ABCD,A,NRMSE,RandomForest,0.0434238483242027
3,ABCDF,D,RMSE,MICE,0.6605827640715302
3,ABCDF,D,NRMSE,MICE,0.1255860768196825
